City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Turkistan,KZ,2021-05-24 21:38:46,43.0,68.0,71.17,51,61,6.2
68,Souillac,MU,2021-05-24 21:38:10,-20.5167,57.5167,73.78,80,40,12.57
69,Laguna,US,2021-05-24 21:38:47,38.421,-121.4238,89.91,29,1,4.0
70,Vallenar,CL,2021-05-24 21:38:47,-28.5708,-70.7581,65.98,34,54,3.24
71,Kapaa,US,2021-05-24 21:38:48,22.0752,-159.319,82.72,71,40,3.0
72,Hobyo,SO,2021-05-24 21:38:48,5.3505,48.5268,79.97,69,85,21.09
73,Carnarvon,AU,2021-05-24 21:38:49,-24.8667,113.6333,51.87,93,0,8.05
74,Mar Del Plata,AR,2021-05-24 21:35:01,-38.0023,-57.5575,60.13,63,0,11.01
75,Puerto Ayora,EC,2021-05-24 21:38:49,-0.7393,-90.3518,82.36,87,59,7.0
76,Kargil,IN,2021-05-24 21:38:50,34.5667,76.1,36.61,54,79,4.47
77,Airai,TL,2021-05-24 21:38:50,-8.9266,125.4092,57.02,88,8,3.02
78,Vaini,TO,2021-05-24 21:38:50,-21.2,-175.2,75.36,78,75,5.75
79,Adre,TD,2021-05-24 21:38:51,13.4667,22.2,80.67,11,26,6.49
80,Beloha,MG,2021-05-24 21:38:51,-25.1667,45.05,62.65,92,1,4.74
81,Provideniya,RU,2021-05-24 21:38:52,64.3833,-173.3,39.31,70,0,20.13
82,Gorontalo,ID,2021-05-24 21:38:52,0.5412,123.0595,76.03,92,91,1.81
83,San Jeronimo,PE,2021-05-24 21:38:52,-11.9472,-75.2829,53.74,69,82,2.68
84,Latung,PH,2021-05-24 21:38:53,5.5,120.8833,83.01,71,96,4.12
85,Changji,CN,2021-05-24 21:38:53,44.0167,87.3167,68.79,26,0,8.05
86,Zhuhai,CN,2021-05-24 21:38:51,22.2769,113.5678,83.91,79,40,1.01
87,Sibolga,ID,2021-05-24 21:38:54,1.7427,98.7792,76.64,90,79,2.91
88,Waingapu,ID,2021-05-24 21:37:07,-9.6567,120.2641,73.96,86,42,4.81
89,Georgetown,MY,2021-05-24 21:36:07,5.4112,100.3354,81.9,87,20,1.99
90,Mhlume,SZ,2021-05-24 21:38:54,-26.0333,31.85,54.86,93,0,3.33
91,Bonthe,SL,2021-05-24 21:38:55,7.5264,-12.505,81.27,85,46,6.44
92,Pomichna,UA,2021-05-24 21:38:55,48.2422,31.4158,48.7,94,3,9.26
93,Aguimes,ES,2021-05-24 21:38:56,27.9054,-15.4461,65.66,64,20,25.32
94,Chuy,UY,2021-05-24 21:38:56,-33.6971,-53.4616,53.53,72,10,10.51
95,Nieuw Amsterdam,SR,2021-05-24 21:38:57,5.8833,-55.0833,80.76,91,75,7.11
96,Cape Town,ZA,2021-05-24 21:35:03,-33.9258,18.4232,62.1,85,40,7.11
97,Karoi,ZW,2021-05-24 21:38:57,-16.8099,29.6925,51.01,91,0,4.9
98,Saint-Pierre,RE,2021-05-24 21:38:58,-21.3393,55.4781,71.28,79,75,16.11
99,Esperance,AU,2021-05-24 21:38:45,-33.8667,121.9,49.84,61,100,20.04
100,Lasa,IT,2021-05-24 21:38:58,46.6166,10.7002,50.88,100,100,0.29
101,Hovd,MN,2021-05-24 21:38:58,48.0056,91.6419,53.17,69,47,3.74
102,Magadan,RU,2021-05-24 21:38:59,59.5667,150.8,42.15,69,16,3.85
103,Bandarbeyla,SO,2021-05-24 21:38:59,9.4942,50.8122,82.58,66,1,16.35
104,Filadelfia,US,2021-05-24 21:38:22,39.9523,-75.1638,68.13,45,90,1.01
105,Henties Bay,NA,2021-05-24 21:39:00,-22.116,14.2845,72.86,62,16,7.09
106,Grand Gaube,MU,2021-05-24 21:39:00,-20.0064,57.6608,73.8,77,22,5.99
107,Axim,GH,2021-05-24 21:39:01,4.8699,-2.2405,80.76,86,73,7.92
108,Taltal,CL,2021-05-24 21:39:01,-25.4,-70.4833,64.29,75,100,5.5
109,Tendukheda,IN,2021-05-24 21:39:02,23.4,79.55,83.75,25,89,5.82
110,Northam,GB,2021-05-24 21:39:02,51.0333,-4.2167,51.39,85,8,14.2
111,Bengkulu,ID,2021-05-24 21:39:03,-3.8004,102.2655,76.05,90,97,3.51
112,Barrow,US,2021-05-24 21:38:14,71.2906,-156.7887,28.42,86,90,13.8
113,Santa Cruz,BO,2021-05-24 21:37:34,-17.8,-63.1667,71.65,40,20,5.75
114,Faanui,PF,2021-05-24 21:38:14,-16.4833,-151.75,81.48,74,96,12.37
115,Haines Junction,CA,2021-05-24 21:39:03,60.7522,-137.5108,48.15,71,100,12.66
116,Ponta Do Sol,PT,2021-05-24 21:39:04,32.6667,-17.1,67.71,80,47,5.55
117,Praia,CV,2021-05-24 21:39:04,14.9215,-23.5087,73.94,73,40,20.71
118,Baiyin,CN,2021-05-24 21:36:17,36.5583,104.2081,47.28,24,99,2.84
119,Mahibadhoo,MV,2021-05-24 21:39:05,3.7833,72.9667,83.89,75,90,20.96
120,Hrebinka,UA,2021-05-24 21:39:05,50.1171,32.4361,48.83,91,0,7.58
121,East London,ZA,2021-05-24 21:39:06,-33.0153,27.9116,76.01,36,100,10.47
122,Tallahassee,US,2021-05-24 21:34:36,30.4383,-84.2807,93.99,32,40,1.01
123,Kodiak,US,2021-05-24 21:38:42,57.79,-152.4072,51.31,71,1,6.91
124,Dali,CN,2021-05-24 21:39:06,25.7,100.1833,60.17,95,96,3.53
125,Ariquemes,BR,2021-05-24 21:39:07,-9.9133,-63.0408,72.63,90,99,5.44
126,Orda,RU,2021-05-24 21:39:07,57.1951,56.9091,60.8,85,89,3.71
127,Payo,ID,2021-05-24 21:39:08,-3.7508,103.6372,72.77,96,68,1.36
128,Port Elizabeth,ZA,2021-05-24 21:39:08,-33.918,25.5701,66.49,82,0,11.5
129,Juneau,US,2021-05-24 21:35:16,58.3019,-134.4197,53.6,90,75,3.67
130,Berdigestyakh,RU,2021-05-24 21:39:08,62.0989,126.6992,40.68,93,100,8.72
131,Ilulissat,GL,2021-05-24 21:39:09,69.2167,-51.1,44.62,33,75,12.66
132,Lebu,CL,2021-05-24 21:39:09,-37.6167,-73.65,54.97,93,67,7.2
133,Longyearbyen,SJ,2021-05-24 21:39:10,78.2186,15.6401,28.24,69,75,10.36
134,Castro,BR,2021-05-24 21:39:10,-24.7911,-50.0119,47.48,69,90,2.01
135,Hermanus,ZA,2021-05-24 21:39:10,-34.4187,19.2345,60.91,79,42,4.81
136,San Quintin,MX,2021-05-24 21:39:11,30.4833,-115.95,70.9,55,4,14.58
137,Nurota,UZ,2021-05-24 21:39:11,40.5614,65.6886,69.89,27,6,7.07
138,Cherskiy,RU,2021-05-24 21:39:12,68.75,161.3,49.03,41,6,5.59
139,Dwarka,IN,2021-05-24 21:39:12,22.2394,68.9678,82.92,78,9,15.43
140,Luderitz,NA,2021-05-24 21:38:21,-26.6481,15.1594,67.46,54,100,3.96
141,Ulaangom,MN,2021-05-24 21:39:12,49.9811,92.0667,53.91,59,0,6.58
142,Murovane,UA,2021-05-24 21:39:13,49.5214,22.9367,57.58,80,100,6.6
143,Naze,JP,2021-05-24 21:39:13,28.3667,129.4833,70.74,74,88,4.59
144,Saskylakh,RU,2021-05-24 21:39:14,71.9167,114.0833,38.23,90,5,4.52
145,Hasaki,JP,2021-05-24 21:39:10,35.7333,140.8333,64.69,77,18,5.53
146,Namibe,AO,2021-05-24 21:39:14,-15.1961,12.1522,74.55,63,11,5.61
147,Ancud,CL,2021-05-24 21:39:15,-41.8697,-73.8203,51.33,72,83,9.82
148,Fortuna,US,2021-05-24 21:39:15,40.5982,-124.1573,73.42,65,1,5.01
149,Geraldton,AU,2021-05-24 21:39:15,-28.7667,114.6,52.21,66,40,10.71
150,Bari,IT,2021-05-24 21:39:16,41.1177,16.8512,75.87,58,0,3.0
151,Tamandare,BR,2021-05-24 21:39:16,-8.7597,-35.1047,76.46,76,89,6.49
152,Lewiston,US,2021-05-24 21:38:32,44.1003,-70.2148,68.45,55,1,12.66
153,Moranbah,AU,2021-05-24 21:39:17,-22.0016,148.0466,61.2,88,28,9.33
154,Avarua,CK,2021-05-24 21:39:17,-21.2078,-159.775,82.45,89,75,10.36
155,Honningsvag,NO,2021-05-24 21:39:18,70.9821,25.9704,38.73,66,15,9.75
156,Larsnes,NO,2021-05-24 21:39:18,62.2028,5.5773,56.86,89,100,5.86
157,Alofi,NU,2021-05-24 21:39:18,-19.0595,-169.9187,82.29,83,75,6.91
158,Peniche,PT,2021-05-24 21:39:19,39.3558,-9.3811,59.72,68,3,22.17
159,Mehamn,NO,2021-05-24 21:39:19,71.0357,27.8492,39.15,56,0,4.61
160,San Cristobal,VE,2021-05-24 21:39:20,7.7669,-72.225,75.38,97,100,4.07
161,Russkaya Polyana,UA,2021-05-24 21:39:20,49.417,31.9201,49.23,92,10,6.55
162,Mount Gambier,AU,2021-05-24 21:39:20,-37.8333,140.7667,64.31,52,75,20.71
163,Los Llanos De Aridane,ES,2021-05-24 21:39:21,28.6585,-17.9182,64.15,75,75,18.54
164,General Bravo,MX,2021-05-24 21:39:21,25.8,-99.1667,94.69,36,36,18.9
165,Nantucket,US,2021-05-24 21:39:22,41.2835,-70.0995,61.25,58,1,10.36
166,Codrington,AU,2021-05-24 21:39:22,-38.2667,141.9667,66.18,44,100,23.2
167,Guymon,US,2021-05-24 21:39:22,36.6828,-101.4816,88.48,54,20,17.27
168,San Juan Del Sur,NI,2021-05-24 21:39:23,11.2529,-85.8705,80.82,69,75,22.77
169,Hobart,AU,2021-05-24 21:39:23,-42.8794,147.3294,55.26,85,75,1.99
170,Nesbyen,NO,2021-05-24 21:39:23,60.5681,9.1027,51.75,93,100,3.0
171,Bere,TD,2021-05-24 21:39:24,9.3202,16.1552,91.26,26,68,4.83
172,Sinnamary,GF,2021-05-24 21:39:24,5.3833,-52.95,77.09,95,100,13.02
173,Jimenez,MX,2021-05-24 21:39:25,28.3333,-105.4,88.54,11,93,1.45
174,Thompson,CA,2021-05-24 21:39:00,55.7435,-97.8558,50.16,100,90,2.3
175,Beruwala,LK,2021-05-24 21:39:25,6.4788,79.9828,80.19,84,100,17.56
176,Avera,US,2021-05-24 21:39:26,33.194,-82.5271,94.71,37,27,2.59
177,Kokopo,PG,2021-05-24 21:39:26,-4.352,152.2633,78.87,90,100,9.84
