City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
676,Mabopane,ZA,-25.4977,28.1007,53.44,34,66,4.16,broken clouds
677,Ampanihy,MG,-24.7,44.75,61.47,86,0,4.81,clear sky
678,Siniscola,IT,40.5719,9.6922,63.95,54,59,4.5,broken clouds
679,Roura,GF,4.7263,-52.3274,78.96,100,75,1.83,broken clouds
680,Bandarbeyla,SO,9.4942,50.8122,78.51,80,3,21.47,clear sky
681,Ingham,US,42.6,-84.3833,50.18,61,1,3.44,clear sky
682,Gotsu,JP,35.0,132.2167,70.72,47,0,5.21,clear sky
683,Santo Domingo,DO,18.5001,-69.9886,80.04,81,0,1.99,clear sky
684,Panguna,PG,-6.3164,155.4848,78.91,73,54,1.83,light rain
685,Pandan,PH,14.0453,124.1694,87.55,67,85,1.1,overcast clouds
686,Karaton,ID,-6.3424,106.1045,86.16,64,96,2.66,overcast clouds
687,Dharmavaram,IN,14.4333,77.7167,84.52,57,11,14.99,few clouds
688,Tartagal,AR,-22.5164,-63.8013,64.09,52,100,5.3,overcast clouds
689,Palmer,US,42.1584,-72.3287,47.01,76,100,1.01,overcast clouds
690,Abu Samrah,SY,35.3029,37.1841,62.29,83,0,6.04,clear sky
691,Tura,IN,25.5198,90.2201,81.27,81,9,4.27,clear sky
692,Inongo,CD,-1.95,18.2667,71.76,86,95,3.94,overcast clouds
693,Port Lincoln,AU,-34.7333,135.8667,59.92,42,49,9.66,scattered clouds
694,Porto Seguro,BR,-16.4497,-39.0647,75.72,88,20,3.44,few clouds
695,Karratha,AU,-20.7377,116.8463,71.06,88,98,6.15,light rain
696,Aosta,IT,45.7667,7.4167,46.0,71,23,1.9,few clouds
697,Abu Zabad,SD,12.35,29.25,85.66,38,3,9.08,clear sky
698,Beringovskiy,RU,63.05,179.3167,34.59,81,10,9.4,clear sky
699,Piscu,RO,45.5,27.7333,59.49,76,100,3.27,overcast clouds
700,Jumla,NP,29.2747,82.1838,64.31,72,39,4.63,scattered clouds
701,Paita,PE,-5.0892,-81.1144,68.2,84,1,13.58,clear sky
702,Itoman,JP,26.1247,127.6694,75.22,83,75,13.8,light rain
703,Jatiroto,ID,-7.8833,111.1167,81.21,77,97,3.31,overcast clouds
